,Bigram,Count
7,Michel Temer,480
10,Lava Jato,467
15,Sérgio Moro,431
22,redes sociais,373
24,São Paulo,358
25,Dilma Rousseff,351
34,Polícia Federal,297
51,expresidente Lula,236
52,Eduardo Cunha,228
59,Ministério Público,206
66,pode ser,194
81,Operação Lava,170
83,presidente Dilma,170
89,delação premiada,162
102,Gilmar Mendes,150
104,Luiz Inácio,148
105,Renan Calheiros,148
107,Estados Unidos,147
109,Aécio Neves,146
111,Kim Jongun,142
126,juiz Sérgio,130
131,presidente Michel,129
135,Inácio Lula,128
137,Sergio Moro,124
141,Donald Trump,122
143,último dia,122
144,Jair Bolsonaro,121
166,Supremo Tribunal,109
173,deputado federal,106
176,Tribunal Federal,105
190,juiz federal,99
192,dinheiro público,98
201,foro privilegiado,96
203,Casa Civil,96
204,Teori Zavascki,96
210,Rodrigo Janot,93
217,vídeo abaixo,90
239,Instituto Lula,85
248,ser preso,83
254,rede social,82
250,Rede Globo,82
256,povo brasileiro,81
259,Público Federal,80
272,poderá ser,79
275,governo federal,78
283,Sérgio Machado,77
286,Operação LavaJato,77
291,ter sido,76
296,Marcelo Odebrecht,75
320,Joesley Batista,71
333,deve ser,70
334,qualquer momento,70
343,juiz Sergio,68
371,expresidente Luiz,65
382,Forças Armadas,64
385,pode ter,63
393,Marisa Letícia,63
395,organização criminosa,63
396,João Santana,63
403,última semana,62
404,Romero Jucá,62
420,todo mundo,60
427,Kim Jonun,60
429,podem ser,60
430,fez questão,60
448,governo Dilma,59
457,Globo News,58
453,Pois bem,58
455,Patrícia Carvalho,58
476,federal Sérgio,56
480,deste ano,56
485,Gleisi Hoffmann,56
487,Minas Gerais,55
491,presidente afastada,55
499,cada vez,55
506,pode estar,54
515,José Carlos,54
518,faz parte,54
525,prisão preventiva,53
534,Nestor Cerveró,53
522,corrupção passiva,53
524,armas nucleares,53
543,primeira vez,52
549,ministro Teori,52
556,Ciro Gomes,51
567,cofres públicos,51
568,ano passado,51
572,vai ser,51
575,Cármen Lúcia,51
588,Edson Fachin,50
590,Força Aérea,50
619,Fernando Henrique,48
638,Congresso Nacional,47
652,José Dirceu,46
661,Justiça Federal,46
695,governo Temer,44
698,Porto Alegre,44
701,ministro Gilmar,44
713,Estado Islâmico,44
722,José Serra,43
724,Lei Rouanet,43
738,presidente interino,43
756,Silvio Santos,42
758,Carlos Bumlai,42
742,Jean Wyllys,42
749,juiz Moro,42
747,devem ser,42
766,Rio Grande,41
775,José Eduardo,41
786,Relações Exteriores,40
796,Léo Pinheiro,40
797,agora pouco,40
812,500 mil,39
826,Espírito Santo,39
825,Andrade Gutierrez,39
809,Reino Unido,39
808,presidente Temer,39
802,deputado Jair,39
814,senador Aécio,39
855,João Dória,38
858,blá blá,38
905,dois anos,36
910,Lindbergh Farias,36
932,Paulo Bernardo,36
946,Cunha PMDBRJ,35
966,ataque nuclear,35
955,havia sido,35
953,deste país,35
948,grande parte,35
940,Rodrigo Maia,35
935,poderia ser,35
933,vai ter,35
937,Federal STF,35
969,política brasileira,34
1005,Henrique Cardoso,34
1006,Polícia Civil,34
1010,Carl Vinson,34
1012,Polícia Militar,34
1016,Eduardo Cardozo,34
1059,Casa Branca,33
1065,Delcídio Amaral,33
1063,Lula disse,33
1057,guerra nuclear,33
1056,100 mil,33
1019,revista Veja,33
1081,Dias Toffoli,32
1084,matéria publicada,32
1089,poderia ter,32
1097,Guido Mantega,32
1102,Nova York,32
1111,Revista Veja,32
1112,ser humano,32
1159,península coreana,31
1141,Distrito Federal,31
1139,federal Jair,31
1130,muita gente,31
1120,outro lado,31
1123,mil pessoas,31
1163,Marina Silva,30
1166,São Bernardo,30
1184,Antonio Palocci,30
1191,100 milhões,30
1204,Além disso,30
1219,Ronaldo Caiado,30
1220,Waldir Maranhão,30
1222,contra Lula,30
1225,Vila Olímpica,30
1269,Lula pode,29
1286,Jaques Wagner,29
1280,caixa dois,29
1279,Suprema Corte,29
1227,operação Lava,29
1266,América Latina,29
1254,Vara Federal,29
1249,Vieira Lima,29
1358,senador Delcídio,28
1355,condução coercitiva,28
1354,Governo Federal,28
1348,próximo dia,28
1339,mil reais,28
1326,Belo Horizonte,28
1306,informações sobre,28
1300,políticos corruptos,28
1297,última sextafeira,28
1325,novo presidente,28
1400,Mônica Moura,27
1428,Magno Malta,27
1426,últimos anos,27
1421,Guerra Mundial,27
1413,exato momento,27
1406,João Doria,27
1388,Cláudio Humberto,27
1376,presidente norteamericano,27
1375,Ricardo Lewandowski,27
1369,novas eleições,27
1362,eleições presidenciais,27
1359,Reinaldo Azevedo,27
1471,neste momento,26
1518,Dona Marisa,26
1511,Constituição Federal,26
1508,qualquer tipo,26
1505,deveria ser,26
1504,Com relação,26
1498,fazem parte,26
1494,duas vezes,26
1467,denúncia contra,26
1468,Geddel Vieira,26
1460,expresidente Dilma,26
1455,Desta vez,26
1454,afastada Dilma,26
1453,manda recado,26
1442,intervenção militar,26
1429,Kátia Abreu,26
1554,Moreira Franco,25
1593,Receita Federal,25
1591,300 mil,25
1589,ter recebido,25
1587,último sábado,25
1582,Eliseu Padilha,25
1549,Vale ressaltar,25
1548,deveria ter,25
1537,Ele disse,25
1534,míssil balístico,25
1530,três anos,25
1528,tão pouco,25
1522,Jovem Pan,25
1648,seres humanos,24
1691,quatro anos,24
1689,seis meses,24
1681,teste nuclear,24
1666,novo ministro,24
1664,Lula vai,24
1660,Lauro Jardim,24
1611,imagem abaixo,24
1638,Operação Zelotes,24
1633,ministro Edson,24
1617,crise econômica,24
1613,última quintafeira,24
1612,caso aconteceu,24
1604,Geraldo Alckmin,24
1745,Mato Grosso,23
1810,movimentos sociais,23
1804,Luíz Inácio,23
1802,Fernando Collor,23
1789,USS Carl,23
1782,Melo Filho,23
1770,Direitos Humanos,23
1767,Fátima Bernardes,23
1746,habeas corpus,23
1747,João Vaccari,23
1736,Daily Mail,23
1733,último domingo,23
1720,primeira instância,23
1718,Antônio Palocci,23
1713,segunda instância,23
1709,Eike Batista,23
1703,Joaquim Barbosa,23
1702,próximas eleições,23
1701,expresidente petista,23
1862,presidente Lula,22
1925,Ana Maria,22
1912,deverá ser,22
1911,Luís Cláudio,22
1884,expresidente Fernando,22
1874,Vídeo mostra,22
1871,cada dia,22
1923,Fernando Pimentel,22
1861,cinco anos,22
1842,José Sarney,22
1840,Temer PMDB,22
1835,Polícia Legislativa,22
1831,Santa Catarina,22
1815,Álvaro Dias,22
1826,pouco tempo,22
1851,Rocha Loures,22
1988,Tribunal Superior,21
2057,Rio 2016,21
2045,Senado Federal,21
2042,ser feito,21
1989,Superior Eleitoral,21
2029,nesta semana,21
1982,atual ministro,21
1967,site Antagonista,21
1940,pediu demissão,21
1928,próximos dias,21
1927,governo petista,21
2122,Procurador Geral,20
2205,Nicolás Maduro,20
2187,disse hoje,20
2177,outros países,20
2152,Procuradoria Geral,20
2149,senador petista,20
2142,Marco Aurélio,20
2137,Dessa vez,20
2130,dinheiro vivo,20
2128,Messias Bolsonaro,20
2127,Jair Messias,20
2170,campanha presidencial,20
2121,processo contra,20
2093,Paulo Henrique,20
2069,falou sobre,20
2070,segundo turno,20
2084,bom senso,20
2068,crise política,20
2120,Ordem Mundial,20
2098,dão conta,20
2111,logo após,20
2113,atual presidente,20
2119,Nova Ordem,20
2099,Lula diz,20
2344,Vladimir Putin,19
2319,quer dizer,19
2323,jornal Folha,19
2333,partidos políticos,19
2340,entrevista coletiva,19
2341,vai fazer,19
2359,Luis Cláudio,19
2353,senadora petista,19
2360,Ele vai,19
2372,exprimeira dama,19
2385,vídeo via,19
2297,possa ser,19
2310,ação penal,19
2290,campanha eleitoral,19
2295,ainda disse,19
2273,residência oficial,19
2216,podem ter,19
2218,Deltan Dallagnol,19
2229,disse Lula,19
2234,Lúcio Funaro,19
2272,após ser,19
2227,dessa vez,19
2276,últimos meses,19
2278,dona Marisa,19
2279,deputado Eduardo,19
2280,Vaccari Neto,19
2282,vossa excelência,19
2491,Não vou,18
2564,Boeing 767,18
2551,Eduardo Bolsonaro,18
2542,Paulo Roberto,18
2533,Cláudio Melo,18
