,Bigram,Count
3,Lava Jato,3776
10,São Paulo,2575
12,Ministério Público,2187
30,Michel Temer,1613
38,Estados Unidos,1393
39,Polícia Federal,1388
43,Supremo Tribunal,1325
44,Tribunal Federal,1301
69,presidente Michel,1041
71,pode ser,1028
76,ano passado,987
82,Operação Lava,949
85,Luiz Inácio,942
86,Inácio Lula,941
92,Sérgio Moro,913
94,Dilma Rousseff,910
107,Público Federal,873
133,Federal STF,692
142,delação premiada,670
148,expresidente Luiz,645
149,redes sociais,645
150,expresidente Lula,644
162,deste ano,626
166,Além disso,620
182,Eduardo Cunha,577
189,corrupção passiva,566
194,ter sido,559
206,deve ser,534
208,Gilmar Mendes,532
217,Joesley Batista,520
220,juiz Sérgio,514
222,Aécio Neves,507
229,organização criminosa,500
231,Instituto Lula,498
250,Marcelo Odebrecht,475
255,primeira vez,469
260,BBC Brasil,463
266,Polícia Civil,452
270,Donald Trump,444
277,Tribunal Regional,438
289,Justiça Federal,425
290,Porto Alegre,424
296,Rodrigo Janot,417
300,Rio Grande,416
316,Edson Fachin,407
321,governo federal,404
327,juiz federal,401
332,dois anos,398
333,nesta quartafeira,398
340,Polícia Militar,392
341,semana passada,392
356,ação penal,384
355,primeira instância,384
364,Casa Civil,377
365,segunda instância,375
370,Regional Federal,370
382,podem ser,363
385,nesta terçafeira,358
392,Rodrigo Maia,356
397,Marco Aurélio,353
401,Segurança Pública,353
405,cada vez,350
417,denúncia contra,346
421,segurança pública,345
437,Renan Calheiros,338
460,havia sido,327
485,Cármen Lúcia,319
491,Minas Gerais,316
505,vai ser,311
508,Forças Armadas,309
510,nesta segundafeira,309
512,nesta quintafeira,308
523,deputado federal,303
545,foro privilegiado,296
550,habeas corpus,295
557,Distrito Federal,293
592,Congresso Nacional,279
601,prisão preventiva,276
605,manhã desta,276
616,Kim Jongun,273
620,três anos,271
627,outro lado,270
633,República Rodrigo,269
637,Rocha Loures,269
641,Para ouvir,268
650,nesta sextafeira,264
666,clique aqui,260
670,então presidente,260
671,seis meses,260
678,Tribunal Superior,258
687,federal Sérgio,257
708,Procuradoria Geral,252
713,muitas vezes,251
719,todo mundo,250
729,Moreira Franco,249
740,faz parte,247
748,São Bernardo,246
753,Vara Federal,245
756,neste ano,244
762,maior parte,243
770,senador Aécio,240
776,pode ter,239
778,Superior Eleitoral,237
783,Marisa Letícia,235
794,expresidente Dilma,232
799,Vieira Lima,231
810,João Santana,228
818,disse ainda,227
836,Federal MPF,224
838,devem ser,224
833,últimos anos,224
844,ministro Edson,223
852,mil pessoas,221
867,presidente Dilma,219
891,Ele disse,214
914,governo Temer,210
921,precisa ser,209
925,Léo Pinheiro,208
929,Casa Branca,208
943,poderia ser,206
978,Sérgio Cabral,201
980,outros países,200
979,Mato Grosso,200
1000,quatro anos,198
1017,cinco anos,195
1020,vai ter,195
1025,contra Temer,194
1036,América Latina,192
1048,José Carlos,191
